# Accelerometer Data File
# Started @Wed Oct 14 10:13:25 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSO Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.555 10.343 0.979 2
0.545 10.314 1.019 2
0.519 10.213 0.993 2
0.538 10.204 0.967 2
0.56 10.199 0.943 2
0.622 10.175 0.936 2
0.656 10.178 0.933 2
0.699 10.178 0.869 2
0.699 10.178 0.869 2
0.699 10.178 0.869 1
0.706 10.197 0.854 2
0.711 10.202 0.842 2
0.715 10.23 0.823 2
0.706 10.271 0.854 2
0.708 10.29 0.823 2
0.742 10.338 0.72 2
0.794 10.352 0.689 2
1.156 10.316 0.55 2
1.156 10.316 0.55 2
1.156 10.316 0.55 2
1.206 10.271 0.363 2
1.228 10.278 0.318 2
1.352 10.328 0.414 2
1.41 10.357 0.49 2
1.395 10.364 0.495 2
1.245 10.333 0.385 2
1.158 10.319 0.325 2
1.003 10.314 0.239 2
0.981 10.314 0.244 2
0.981 10.314 0.244 2
0.948 10.312 0.287 2
0.914 10.3 0.316 2
0.873 10.3 0.335 2
0.861 10.3 0.342 2
0.902 10.314 0.375 2
0.964 10.326 0.361 2
0.993 10.314 0.32 2
1.06 10.285 0.107 2
1.06 10.285 0.107 2
1.089 10.285 0.081 3
1.142 10.338 0.079 2
1.163 10.362 0.105 2
1.142 10.417 0.184 2
1.106 10.451 0.229 2
1.015 10.508 0.282 2
0.943 10.553 0.306 2
0.905 10.568 0.292 2
0.782 10.556 0.191 2
0.737 10.525 0.148 2
0.737 10.525 0.148 2
0.622 10.498 0.107 2
0.543 10.434 0.05 2
0.409 10.362 -0.016 2
0.368 10.369 -0.009 2
0.311 10.407 0.107 2
0.27 10.436 0.186 1
0.158 10.453 0.316 2
-0.083 10.443 0.541 2
-0.083 10.443 0.541 2
-0.143 10.417 0.569 2
-0.186 10.391 0.596 2
-0.244 10.312 0.634 2
-0.301 10.233 0.67 2
-0.337 10.158 0.629 2
-0.445 10.046 0.608 2
-0.462 10.005 0.622 2
-0.421 9.96 0.766 2
-0.466 9.902 1.185 2
-0.466 9.902 1.185 2
-0.452 9.96 1.309 3
-0.433 9.998 1.417 2
-0.411 10.02 1.513 2
-0.383 10.065 1.58 2
-0.349 10.077 1.594 2
-0.277 10.089 1.58 2
-0.258 10.067 1.513 2
-0.232 10.101 1.513 2
-0.203 10.122 1.649 2
-0.203 10.122 1.649 2
-0.174 10.137 1.692 2
-0.162 10.12 1.69 1
-0.251 10.027 1.678 2
-0.253 10.015 1.743 2
-0.222 10.027 1.752 3
-0.165 10.027 1.726 2
-0.162 9.998 1.699 2
-0.172 9.96 1.68 2
-0.146 9.924 1.616 2
-0.146 9.924 1.616 2
-0.143 9.912 1.594 2
-0.143 9.905 1.594 2
-0.131 9.907 1.611 2
-0.153 9.893 1.594 2
-0.165 9.878 1.568 2
-0.203 9.821 1.517 2
-0.205 9.814 1.522 2
-0.174 9.816 1.477 2
-0.184 9.773 1.34 2
-0.184 9.773 1.34 2
-0.189 9.763 1.302 2
-0.201 9.766 1.276 2
-0.244 9.735 1.221 2
-0.328 9.72 1.154 2
-0.368 9.711 1.139 2
-0.426 9.696 1.118 2
-0.454 9.672 1.075 2
-0.5 9.627 0.991 2
-0.617 9.553 0.837 2
-0.617 9.553 0.837 2
-0.639 9.553 0.837 2
-0.679 9.534 0.787 2
